Dataset,Experiment,MAPE (%),RMSE (%),R²
LCO,1,0.9059445932507515,1.2481773272156715,0.9898595213890076
LCO,2,1.0673311538994312,1.3639136217534542,0.9878917932510376
LCO,3,0.9779856540262699,1.267852820456028,0.9895372986793518
LCO,4,1.2628426775336266,1.4139878563582897,0.9869863986968994
LCO,5,1.272323727607727,1.4303426258265972,0.9866836071014404
LCO,6,0.9817091748118401,1.3367117382586002,0.9883699417114258
LCO,7,1.1806359514594078,1.3787509873509407,0.9876269102096558
LCO,8,1.2201758101582527,1.463367324322462,0.9860615730285645
LCO,9,1.3098644092679024,1.500533614307642,0.9853445887565613
LCO,10,0.8762487210333347,1.275647059082985,0.9894082546234131
LCO,Mean,1.1055061873048544,1.367928497493267,0.9877769887447357
LCO,Std,0.15445617022617572,0.08166318264063699,0.001454774736265373
NCM+NCA,1,0.333183235488832,0.3333097090944648,0.9986898899078369
NCM+NCA,2,0.36319377832114697,0.36084516905248165,0.9984644651412964
NCM+NCA,3,0.43114018626511097,0.4067542962729931,0.9980489015579224
NCM+NCA,4,0.4720777738839388,0.43781702406704426,0.9977395534515381
NCM+NCA,5,0.39122370071709156,0.3869263920933008,0.9982345104217529
NCM+NCA,6,0.3533686976879835,0.33601196482777596,0.9986685514450073
NCM+NCA,7,0.4516506567597389,0.42886328883469105,0.9978310465812683
NCM+NCA,8,0.46805902384221554,0.44700736179947853,0.9976436495780945
NCM+NCA,9,0.7736152037978172,0.7749659940600395,0.9929177165031433
NCM+NCA,10,0.42366781271994114,0.4139252472668886,0.9979795217514038
NCM+NCA,Mean,0.44611800694838166,0.4326426447369159,0.9976217806339264
NCM+NCA,Std,0.11849691883593857,0.12037549565767064,0.0016068264618548371
NCM+LCO,1,1.2420861050486565,0.9779115207493305,0.996748149394989
NCM+LCO,2,1.3682612217962742,1.015884056687355,0.9964907169342041
NCM+LCO,3,1.386319100856781,1.079817209392786,0.996035099029541
NCM+LCO,4,1.5319675207138062,1.1689377948641777,0.995353639125824
NCM+LCO,5,1.705835945904255,1.3055234216153622,0.9942043423652649
NCM+LCO,6,1.3637463562190533,1.1087522841989994,0.9958197474479675
NCM+LCO,7,1.6638873144984245,1.4554406516253948,0.9927968382835388
NCM+LCO,8,1.2801899574697018,1.1097373440861702,0.9958122968673706
NCM+LCO,9,1.3664213009178638,1.1021869257092476,0.9958691000938416
NCM+LCO,10,1.5480211935937405,1.2788222171366215,0.9944390058517456
NCM+LCO,Mean,1.4456736017018557,1.1603013426065445,0.9953568935394287
NCM+LCO,Std,0.14985482280690873,0.1383870854074423,0.0011441100488942045
NA-ion,1,0.12360495747998357,0.13379239244386554,0.9958838224411011
NA-ion,2,0.15153647400438786,0.1645910320803523,0.9937705993652344
NA-ion,3,0.14051697216928005,0.14552208594977856,0.9951304197311401
NA-ion,4,0.12363942805677652,0.1292695291340351,0.9961574077606201
NA-ion,5,0.12788408203050494,0.13954368187114596,0.9955223202705383
NA-ion,6,0.17509659519419074,0.18655345775187016,0.991997241973877
NA-ion,7,0.11959609109908342,0.13432734413072467,0.9958508610725403
NA-ion,8,0.11623026803135872,0.1265873434022069,0.9963151812553406
NA-ion,9,0.1130632241256535,0.1318151829764247,0.996004581451416
NA-ion,10,0.12382284039631486,0.1319214003160596,0.9959981441497803
NA-ion,Mean,0.13149909325875342,0.14239234500564635,0.9952630579471589
NA-ion,Std,0.01815033216803704,0.01800950466116085,0.001292504985949035
Stanford (NCM),1,0.6533382926136255,0.8509678766131401,0.9697558879852295
Stanford (NCM),2,0.6534414365887642,0.8673648349940777,0.9685791730880737
Stanford (NCM),3,0.7070442661643028,0.8788309991359711,0.967742919921875
Stanford (NCM),4,0.6881172768771648,0.9281294420361519,0.9640224575996399
Stanford (NCM),5,0.8055048063397408,0.9502322413027287,0.962288498878479
Stanford (NCM),6,0.947426725178957,1.1085511185228825,0.9486753940582275
Stanford (NCM),7,0.7313805166631937,0.8793952874839306,0.9677014946937561
